2026-02-17 14:18:05,662 | INFO | heartbeat_producer | Starting Heartbeat Data Producer...
2026-02-17 14:18:05,665 | INFO | heartbeat_producer | Kafka Broker: kafka:9092
2026-02-17 14:18:05,668 | INFO | heartbeat_producer | Topic: heartbeats
2026-02-17 14:18:05,671 | INFO | heartbeat_producer | Simulating 25 patients
2026-02-17 14:18:05,697 | INFO | heartbeat_producer | Connected to Kafka successfully.
2026-02-17 14:18:06,883 | INFO | heartbeat_producer | Sent → patient_id=23 heart_rate=94 status=normal partition=0
2026-02-17 14:18:08,217 | INFO | heartbeat_producer | Sent → patient_id=7 heart_rate=60 status=normal partition=0
2026-02-17 14:18:09,294 | INFO | heartbeat_producer | Sent → patient_id=17 heart_rate=85 status=normal partition=0
2026-02-17 14:18:10,098 | INFO | heartbeat_producer | Sent → patient_id=15 heart_rate=93 status=normal partition=0
2026-02-17 14:18:10,686 | INFO | heartbeat_producer | Sent → patient_id=12 heart_rate=93 status=normal partition=0
2026-02-17 14:18:11,790 | INFO | heartbeat_producer | Sent → patient_id=23 heart_rate=60 status=normal partition=0
2026-02-17 14:18:12,381 | INFO | heartbeat_producer | Sent → patient_id=8 heart_rate=82 status=normal partition=0
2026-02-17 14:18:13,123 | INFO | heartbeat_producer | Sent → patient_id=11 heart_rate=70 status=normal partition=0
2026-02-17 14:18:13,724 | INFO | heartbeat_producer | Sent → patient_id=3 heart_rate=66 status=normal partition=0
2026-02-17 14:18:14,873 | INFO | heartbeat_producer | Sent → patient_id=12 heart_rate=85 status=normal partition=0
2026-02-17 14:18:16,167 | INFO | heartbeat_producer | Sent → patient_id=20 heart_rate=80 status=normal partition=0
2026-02-17 14:18:16,804 | INFO | heartbeat_producer | Sent → patient_id=10 heart_rate=64 status=normal partition=0
2026-02-17 14:18:17,717 | INFO | heartbeat_producer | Sent → patient_id=23 heart_rate=90 status=normal partition=0
2026-02-17 14:18:18,533 | INFO | heartbeat_producer | Sent → patient_id=25 heart_rate=93 status=normal partition=0
2026-02-17 14:18:19,538 | INFO | heartbeat_producer | Sent → patient_id=6 heart_rate=89 status=normal partition=0
2026-02-17 14:18:20,444 | INFO | heartbeat_producer | Sent → patient_id=11 heart_rate=61 status=normal partition=0
2026-02-17 14:18:21,359 | INFO | heartbeat_producer | Sent → patient_id=23 heart_rate=91 status=normal partition=0
2026-02-17 14:18:22,178 | INFO | heartbeat_producer | Sent → patient_id=10 heart_rate=93 status=normal partition=0
2026-02-17 14:18:23,665 | INFO | heartbeat_producer | Sent → patient_id=22 heart_rate=70 status=normal partition=0
2026-02-17 14:18:25,045 | INFO | heartbeat_producer | Sent → patient_id=2 heart_rate=65 status=normal partition=0
2026-02-17 14:18:26,521 | INFO | heartbeat_producer | Sent → patient_id=18 heart_rate=72 status=normal partition=0
2026-02-17 14:18:27,111 | INFO | heartbeat_producer | Sent → patient_id=10 heart_rate=79 status=normal partition=0
2026-02-17 14:18:28,286 | INFO | heartbeat_producer | Sent → patient_id=2 heart_rate=85 status=normal partition=0
2026-02-17 14:18:28,878 | INFO | heartbeat_producer | Sent → patient_id=24 heart_rate=62 status=normal partition=0
2026-02-17 14:18:29,556 | INFO | heartbeat_producer | Sent → patient_id=25 heart_rate=68 status=normal partition=0
2026-02-17 14:18:30,618 | INFO | heartbeat_producer | Sent → patient_id=18 heart_rate=85 status=normal partition=0
2026-02-17 14:18:31,613 | INFO | heartbeat_producer | Sent → patient_id=23 heart_rate=77 status=normal partition=0
2026-02-17 14:18:32,802 | INFO | heartbeat_producer | Sent → patient_id=12 heart_rate=90 status=normal partition=0
2026-02-17 14:18:33,893 | INFO | heartbeat_producer | Sent → patient_id=1 heart_rate=90 status=normal partition=0
2026-02-17 14:18:34,457 | INFO | heartbeat_producer | Sent → patient_id=14 heart_rate=63 status=normal partition=0
2026-02-17 14:18:35,969 | INFO | heartbeat_producer | Sent → patient_id=14 heart_rate=94 status=normal partition=0
2026-02-17 14:18:36,641 | INFO | heartbeat_producer | Sent → patient_id=11 heart_rate=99 status=normal partition=0
2026-02-17 14:18:37,687 | INFO | heartbeat_producer | Sent → patient_id=20 heart_rate=62 status=normal partition=0
2026-02-17 14:18:38,242 | INFO | heartbeat_producer | Sent → patient_id=7 heart_rate=95 status=normal partition=0
2026-02-17 14:18:39,125 | INFO | heartbeat_producer | Sent → patient_id=7 heart_rate=82 status=normal partition=0
